CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1266320,1,經銷商問題,台哥大-電訪約裝,0.0
1230393,1,網路連線問題,無法上網,0.0
1265532,1,經銷商問題,遠傳電信-電訪約裝,0.0
1265565,1,經銷商問題,台哥大-電訪約裝,0.0
1209856,3,經銷商問題,台哥大-電訪約裝,0.0
1152946,1,經銷商問題,台哥大-電訪約裝,0.0
68289,1,經銷商問題,遠傳電信-電訪約裝,0.0
1266739,1,經銷商問題,台哥大-電訪約裝,0.0
966537,3,網路連線問題,連線其他相關問題,0.0
1252905,1,網路連線問題,無法上網,0.0
113619,1,帳務問題,頻寬方案費率,0.0
1263640,1,網路連線問題,無法上網,0.0
1112890,1,帳務相關,拆機挽回,0.0
36973,1,經銷商問題,台哥大-電訪約裝,0.0
1266252,1,經銷商問題,台哥大-電訪約裝,0.0
1265613,1,經銷商問題,台哥大-電訪約裝,0.0
135870,1,網路連線問題,Cable modem連線,-1.0
1265982,1,經銷商問題,台哥大-電訪約裝,0.0
1266663,1,經銷商問題,台哥大-電訪約裝,0.0
1263485,1,網路連線問題,無法上網,0.0
1230843,1,帳務問題,用戶要求優惠,0.0
1154873,1,帳務相關,拆機挽回,0.0
930687,1,帳務問題,帳單金額/帳單週期問題,0.0
1135446,1,網路連線問題,無法上網,0.0
712739,1,帳務問題,帳單/收據寄送問題,0.0
1252426,1,網路連線問題,連線其他相關問題,0.0
1266378,2,經銷商問題,遠傳電信-電訪約裝,0.0
865771,1,網路連線問題,無法上網,0.0
1063801,3,網路連線問題,無法上網,-0.6666666666666666
1186379,1,帳務問題,帳單金額/帳單週期問題,0.0
907392,1,網路連線問題,網路品質,0.0
1266579,1,經銷商問題,台哥大-電訪約裝,0.0
1119116,1,帳務問題,繳費相關問題,0.0
132972,1,帳務問題,繳費相關問題,0.0
1172497,1,網路連線問題,無法上網,0.0
1218002,2,帳務相關,拆機挽回,0.0
1266153,1,經銷商問題,台哥大-電訪約裝,0.0
1233424,3,帳務相關,拆機挽回,0.0
1266666,1,經銷商問題,遠傳電信-電訪約裝,0.0
149127,1,網路連線問題,連線其他相關問題,4.0
1266698,2,經銷商問題,台哥大-電訪約裝,0.0
