CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1222961,2,經銷商問題,台哥大-電訪約裝,0.0
912924,5,網路連線問題,無法上網,-0.4
1231354,4,網路連線問題,無法上網,-0.25
1156611,1,網路連線問題,無法上網,0.0
935137,3,網路連線問題,無法上網,0.0
763220,3,網路連線問題,無法上網,0.0
589347,3,非連線問題,固定Ip問題,0.3333333333333333
1229755,3,經銷商問題,台哥大-電訪約裝,-0.3333333333333333
830795,1,網路連線問題,網路品質,0.0
1231429,2,經銷商問題,台哥大-電訪約裝,-0.5
1231487,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
293794,3,網路連線問題,網路品質,0.0
803691,3,網路連線問題,無法上網,-0.6666666666666666
839109,3,網路連線問題,無法上網,0.0
1137125,1,網路連線問題,無法上網,-1.0
1231294,4,經銷商問題,台哥大-電訪約裝,0.0
695148,2,網路連線問題,無法上網,0.0
1187806,2,經銷商問題,台哥大-電訪約裝,-0.5
479215,1,帳務問題,帳單金額/帳單週期問題,0.0
1148825,2,網路連線問題,無法上網,0.0
1232695,1,經銷商問題,台哥大-電訪約裝,0.0
1232300,3,網路連線問題,網路品質,0.0
1231949,3,經銷商問題,台哥大-電訪約裝,0.0
1232660,6,經銷商問題,遠傳電信-電訪約裝,0.0
1225294,7,經銷商問題,遠傳電信-電訪約裝,0.0
1149972,4,經銷商問題,台哥大-電訪約裝,0.25
165503,1,網路連線問題,Cable modem連線,0.0
892231,2,經銷商問題,Cable modem連線,0.0
1232699,4,經銷商問題,Cable modem連線,-0.5
1016189,1,經銷商問題,台哥大-電訪約裝,0.0
1139874,3,網路連線問題,無法上網,-0.3333333333333333
1230781,4,經銷商問題,遠傳電信-電訪約裝,0.0
853417,1,網路連線問題,無法上網,-1.0
708044,2,帳務相關,拆機挽回,0.0
1166277,10,網路連線問題,無法上網,-0.4
1181625,1,網路連線問題,無法上網,0.0
1177915,5,網路連線問題,無法上網,0.0
1040504,5,網路連線問題,無法上網,0.4
1071812,4,網路連線問題,無法上網,-0.25
1148819,1,網路連線問題,無法上網,0.0
1231957,2,經銷商問題,台哥大-電訪約裝,0.0
1163135,3,帳務相關,拆機挽回,0.0
1229620,3,經銷商問題,台哥大-電訪約裝,-0.6666666666666666
890279,1,網路連線問題,網路品質,0.0
919342,1,網路連線問題,無法上網,0.0
1075878,3,網路連線問題,無法上網,-0.6666666666666666
1232299,4,經銷商問題,遠傳電信-電訪約裝,0.0
1232288,1,經銷商問題,遠傳電信-電訪約裝,0.0
1232072,2,經銷商問題,遠傳電信-電訪約裝,0.5
1232303,3,經銷商問題,台哥大-電訪約裝,0.0
1137215,3,經銷商問題,遠傳電信-電訪約裝,0.0
1230563,5,經銷商問題,台哥大-電訪約裝,0.4
1153208,1,帳務相關,拆機挽回,-1.0
698531,5,非連線問題,用戶服務抱怨,0.4
1184577,2,帳務相關,拆機挽回,0.0
603234,2,網路連線問題,無法上網,0.5
1175904,1,網路連線問題,無法上網,0.0
1232720,1,經銷商問題,台哥大-電訪約裝,0.0
1230026,2,經銷商問題,台哥大-電訪約裝,-1.0
1144298,4,網路連線問題,網路品質,0.0
1230798,10,經銷商問題,遠傳電信-電訪約裝,-0.6
739116,3,網路連線問題,無法上網,-0.3333333333333333
1231412,1,經銷商問題,遠傳電信-電訪約裝,0.0
1231386,5,經銷商問題,台哥大-電訪約裝,0.0
6198,5,網路連線問題,無法上網,0.2
1231434,4,經銷商問題,台哥大-電訪約裝,0.0
726531,4,網路連線問題,無法上網,0.0
606678,3,網路連線問題,無法上網,-0.6666666666666666
1097457,2,網路連線問題,無法上網,0.0
716397,1,網路連線問題,無法上網,0.0
1231614,5,經銷商問題,台哥大-電訪約裝,0.2
912108,2,網路連線問題,無法上網,-0.5
1053339,3,網路連線問題,網路品質,0.0
1216471,3,網路連線問題,拆機挽回,0.0
689614,5,經銷商問題,台哥大-人員進電,-0.4
1231296,1,經銷商問題,台哥大-電訪約裝,0.0
1168852,1,網路連線問題,無法上網,0.0
1187083,4,網路連線問題,無法上網,0.0
1231843,1,經銷商問題,遠傳電信-電訪約裝,0.0
94797,2,網路連線問題,網路品質,0.0
1231649,3,經銷商問題,台哥大-電訪約裝,0.0
1162069,3,網路連線問題,固定Ip問題,0.0
1068804,1,網路連線問題,Cable modem連線,0.0
1232117,2,經銷商問題,Cable modem連線,-0.5
1232092,2,經銷商問題,遠傳電信-電訪約裝,0.5
582698,4,網路連線問題,無法上網,0.5
1230872,1,經銷商問題,台哥大-電訪約裝,0.0
1135980,1,網路連線問題,無法上網,0.0
1230401,3,經銷商問題,台哥大-電訪約裝,0.0
1160312,5,網路連線問題,無法上網,-0.2
240805,1,帳務相關,拆機挽回,0.0
853841,5,網路連線問題,無法上網,0.0
827601,1,帳務相關,拆機挽回,0.0
827602,1,帳務相關,拆機挽回,0.0
827605,1,帳務相關,拆機挽回,0.0
827608,1,帳務相關,拆機挽回,0.0
851791,1,帳務相關,拆機挽回,0.0
1156637,4,經銷商問題,台哥大-電訪約裝,0.0
1230178,1,網路連線問題,無法上網,0.0
1227257,4,網路連線問題,網路品質,0.0
966016,2,網路連線問題,無法上網,0.0
1229518,3,經銷商問題,台哥大-電訪約裝,0.0
1231673,2,經銷商問題,台哥大-電訪約裝,0.5
624290,3,非連線問題,補收證件,-0.3333333333333333
525561,3,帳務相關,拆機挽回,-0.3333333333333333
1232578,6,經銷商問題,台哥大-電訪約裝,0.3333333333333333
1168906,2,帳務問題,用戶復線,0.0
