客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
229382,-43.833333333333336,0,0,1,0,0,0,0,1,0,0,0,0,0,0
252643,-31.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
632910,-27.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
487818,-41.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
565105,-21.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
525425,-35.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
291505,-7.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1072545,-14.666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1186668,-50.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
324351,-19.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
647763,-36.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
988870,-38.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
914441,-27.428571428571427,0,0,1,0,0,0,0,0,0,0,0,0,1,0
983267,-45.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
625544,-38.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
141760,-46.142857142857146,0,0,1,0,0,0,0,0,0,0,0,0,1,0
216527,-39.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
169776,-36.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
713022,-19.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0
582127,-12.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
225161,-56.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
559203,-25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1023241,-55.666666666666664,0,0,0,1,0,0,0,0,0,0,0,0,1,0
277318,-33.833333333333336,0,0,1,0,0,0,0,1,0,0,0,0,0,0
708209,-18.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
300119,-33.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
792896,-43.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
589105,-8.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0
715723,-29.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
601560,-59.625,0,0,1,0,0,0,0,1,0,0,0,0,0,0
175422,-39.714285714285715,0,0,1,0,0,0,0,0,0,0,0,0,1,0
594976,-40.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
732069,-37.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
403740,-8.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
926832,-37.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1069672,-47.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
185954,-12.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1092767,-36.42857142857143,0,0,1,0,0,0,0,0,0,0,0,0,1,0
691348,-29.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
703632,-18.571428571428573,1,0,0,0,0,0,0,0,0,0,0,0,1,0
821295,-57.833333333333336,0,1,0,0,0,0,0,0,0,0,0,0,1,0
276616,-30.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
206161,-34.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1206328,-37.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
631758,-43.53846153846154,1,0,0,0,0,0,0,0,0,0,0,0,1,0
77398,-49.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
818710,-53.333333333333336,0,0,0,1,0,0,0,0,0,0,0,1,0,0
818944,-58.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
387228,-24.09090909090909,0,0,1,0,0,0,0,1,0,0,0,0,0,0
306882,-23.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
274096,-26.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
592319,-31.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
954619,-44.333333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,1
742336,-59.666666666666664,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1184389,-31.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
222581,-17.666666666666668,0,0,0,0,0,1,0,0,0,0,0,1,0,0
885750,-23.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0
654844,-23.714285714285715,0,0,1,0,0,0,0,1,0,0,0,0,0,0
307466,-46.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1161593,-11.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0
454059,-30.833333333333332,0,0,1,0,0,0,0,0,0,0,0,0,0,1
618782,-55.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
230510,-37.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
747918,-45.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
517227,-37.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
970851,-28.285714285714285,0,0,1,0,0,0,0,1,0,0,0,0,0,0
214696,-35.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
131860,-17.666666666666668,0,0,1,0,0,0,0,1,0,0,0,0,0,0
586247,-27.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
877835,-51.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
425256,-14.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1210509,-42.857142857142854,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1136462,-28.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1079554,-32.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
377307,-3.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0
116030,-44.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
884948,-30.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46190,-27.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1
154388,-12.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1043428,-23.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
689386,-13.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
550291,-7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
638493,-24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
561499,5.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
202533,-11.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
327701,-22.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
224694,-23.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
387715,-25.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
408727,-12.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
755949,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
829905,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
566869,-25.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
672873,13.42,0,0,1,0,0,0,0,0,0,0,0,0,1,0
364225,-2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
282339,-22.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
295009,-9.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
866545,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
388301,-6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
597493,32.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
229768,-32.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1069574,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069575,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069580,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069582,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
781257,15.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
550802,-20.75,0,0,1,0,0,0,0,0,0,0,0,0,0,1
762835,11.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0
871292,-29.333333333333332,0,0,1,0,0,0,0,0,0,0,0,0,1,0
152473,-23.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
173069,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41850,13.42,0,1,0,0,0,0,0,0,0,0,0,0,1,0
154112,-24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1178809,-25.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
739658,-18.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1184212,20.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
573305,-30.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
384355,25.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1128424,13.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0
