客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
1114182,-43.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1115108,-31.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
985284,-28.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1027573,-22.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1178795,-23.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1075899,-39.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1080217,-44.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1028134,-24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1042686,-20.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1151977,-22.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1133075,-32.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1151524,-22.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
914398,-25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
141481,-33.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1153747,-44.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1153868,-28.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1055500,-15.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
951959,-10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
680356,-12.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1061816,-27.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1063630,-20.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
614320,-35.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
615233,-33.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
351947,-10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
684978,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
918454,-27.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1012501,-13.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
829925,-17.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
715740,-11.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1031272,46.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1050604,18.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1035684,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
959369,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1194888,1.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0
59134,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1073869,-24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1113672,-3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
988048,-2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1123175,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
722396,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
425245,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1144877,-15.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
746991,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1150086,16.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
979523,-9.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
520135,-11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
721886,-5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
978641,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
